" Bowling Green State University. Center for Archival Collections.""", Jerome Library 5th Floor, Bowling Green,OH,43403-0175 ,419/372-2411,Fax 419/372-0155,, ," Tues. - Friday 8:00am till 5:00pm, Monday 8:00 am - 9:00 pm during academic year; M-F, 8 am-5pm in summer.","Research, preservation, conservation, microfilm.", http://www.bgsu.edu/colleges/library/cac.html ,,,,,,,
 Toledo Public Schools. Natural Science Technology Center, 5561 Elmer Dr, Toledo,OH,43615,419/537-1198,Fax 419/534-5819,Penny Miller, , 7:30 am. - 3 pm.,"Offers classes in floral design, animal grooming, landscape design, greenhouse plants, fish & wildlife, parks, forestry, companion animals, small animal care.", http://toledonaturalsciencetechnologycenter.com ,,,,,,,
 Collingwood Arts Center., 2413 Collingwood Blvd, Toledo,OH,43620,419/244-2787,FAX: 419-244-2820,Lexi Staples,Executive Director , Office hours - 9am - 1pm; Tuesday by appointment; Wednesday 3pm - 7pm; Thursday by appointment; Friday 9am - 1pm.,"Studio and office space for artists and community organizations. Theater and event space rental available. Housed in a one hundred year old historic building, the Collingwood Arts Center has been creating community through art in Toledo since 1985.", http://www.collingwoodartscenter.org ,,,,,,,
 University of Toledo Trauma Services," 3000 Arlington, MS #1095.", Toledo,OH,43614-2598 ,419/383-6156,Fax 419/883-3016,Deanna Montanaro,Outreach , 9 am-5 pm.,"Gives talks to community on: Seat belt safety, domestic/youth/gun safety, senior home/pedestrian safety,motor vehicle safety/ impaired driving/ road rage/aggressive driving/ defensive driving refresher, railroad safety, sports injury prevention, water safety, holiday hazards, bicycle safety, summer safety, teen driving, AARP Driver Safety Courses are also offered, 4 times per year, senior fall prevention.", ,,,,,,,
 Owens Community College ABLE Program, 30335 Oregon Rd, Perrysburg,OH,43551,567-661-2708,,, , M - F 8-4,"Through ABLE classes an adult can improve basic skills in reading, writing, and math. | Offical GED Practice Test available. | GED preparation is offered to obtain an Ohio High School Equivalence Diploma. | English as a Second Language class is for foreign born adults. | For those who wish to learn to speak English or improve their speaking, reading, writing of our language.", http://www.owens.edu/able/ ,,,,,,,
 Bedford Senior Citizens Center., 1653 Samaria Rd., Temperance,MI,48182,734/856-3330,,"Pamela Rybka,",Director ," 9 am-3 pm, Monday-Friday.","A multipurpose senior center that is the focal point for seniors to communicate and share with each other. | Nutrition - congregate and home delivered, education, support, exercise and recreation, plus referrals for home chore and legal.", ,,,,,,,
 Children's Theatre Workshop., 2417 Collingwood Blvd, Toledo,OH,43620-1153 ,419/244-5061,,Aimee Reed,Artistic Director ," Evenings and weekends, during the school year. Day time and evenings during the summer months. Office hours are Mondays - Thursdays, 9:00-4:00pm","Mission: CTW offers an inclusive environment for young people of all backgrounds, cultures, and lifestyles where they have the opportunity to study many aspects of theatre arts, develop valuable skills, and produce quality plays.", http://www.ctwtoledo.org ,,,,,,,
 Toledo Junior Academy., 4909 W. Sylvania Ave.," Toledo,",OH,43623,419/841-0082,Fax 419/843-5494,Vicki Hall,Principal ," 8 am-3 pm. M-Th, 8am-1:30pm Friday.","A very small private Christian school, grades K-8.", http://www.toledojunioracademy.org ,,,,,,,
 Historic Perrysburg., Meet at Way Public Library., Perrysburg,OH,43551,,,, ," Board of Trustees meets first Tuesday each month, 7:00 pm.",Fosters education about and preservation of the architectural and cultural heritage of Perrysburg., http://www.historicperrysburg.org ,,,,,,,
 Greater Toledo Civil War Roundtable.," c/o Kathleen Jones, 702 Bowman, ", Toledo,OH,43609,,,Kathy Jones [Pres.],419 243-1551 ," Second Thursday each month, 7:30 pm. Navarre Park Shelter House (Not in Jan. or July. Also lunch meets last Tuesday at noon. Uncle John's Pancake House.","Explore all phases/interests in Civil War including battles, politics, home front, reasons why war started, etc.", http://www.angelfire.com/oh4/civwar/gtcwrt ,,,,,,,
 Challenger Learning Center of Lake Erie West, 4955 Seaman Rd, Oregon,OH,43616,419/725-5926,,challenger1c@esclakeriewest.org, ," 7:30 am-3:30 pm, M-F.","Simulated space missions, summer camps,grades K-12", http://www.challenger.org ,,,,,,,
 University of Toledo Foundation," 2801 W Bancroft, Mail Stop 319", Toledo,OH,43606,419/530-7730,,Brenda Lee,Pres. ," 8:15-5:00, Mon-Fri.","The UT Foundation is the official gift-receiving and fund-management organization of The University of Toledo. Our purpose is to support the University's broad educational mission by receiving, managing and distributing your generous gifts -- to benefit students and enhance faculty and program efforts. ", http://www.utfoundation.org ,,,,,,,
 Read For Literacy.," Toledo-Lucas County Public Library, 325 Michigan S", Toledo,OH,43604,419/242-READ,Fax 419/242-7039,Diana Bush, ," 9 am-4:30 pm, Monday-Friday.","Read for Literacy's mission is to provide one-on-one tutoring and other literacy services to improve the literacy of Toledo area residents of all ages. RFL uses volunteer tutors trained to teach non-reading adults to read on a one-on-one basis. Classes for English Language Learners are provided. Volunteers are recruited, background checked and trained to work in preschools and area elementary school with kindergarteners, first graders and second graders. Recruitment of volunteers as tutors is an on-going program.", ,,,,,,,
 Arts Commission of Greater Toledo.," 1838 Parkwood Ave., Suite 120", Toledo,OH,43604,419/254-ARTS,Fax: 419/254-2790,Jennifer Jarrett,Deputy Director , 8:30 am-4:30 pm M - F ,"Non-profit arts service organization that provides programs and services that enhance the quality of life of area residents and improves the community through the arts. | Programs include Art in Public Places, 9th District Congressional Show, Young Artists At Work Program,the Gallery Loop, Art Walks, Artomatic 419, Live, Work, Create Toledo.", http://www.acgt.org ,,,,,,,
 Interfaith Gardens., Schneider Rd, Toledo,OH,43614,419/882-3237,,, , Call any time.,"Garden plots, 20 feet by 60 feet are available.", ,,,,,,,
 Lawyer Referral Service.," Toledo Bar Association, 311 North Superior St", Toledo,OH,43604,419/242-2000,Fax 419/242-3614.,, , Mon-Fri 8:30 - 4:30,"From its inception, the Lawyer Referral and information Service (LRIS) provide the community with a connection to a qualified attorney. These are provided to anyone who can afford to pay a reasonable fee for legal services and who are able and interested in receiving legal services. All of our attorneys are qualified to practice law in the area of interest to the client.", http://www.toledobar.org ,,,,,,,
 Lucas County (Ohio). Auditors Office. Homestead Exemptions., One Government Center Suite 770, Toledo,OH,43604-2255 ,419/213-4336,Fax: 419/213-4399,, ," 8 am-5 pm, Monday - Friday.","Offers reduction in real estate taxes and mobile home taxes for senior citizens, 65 or over and disabled persons at any age. Beginning Jan. 2014 there will be an income requirement. See website for details.", http://www.co.lucas.oh.us/index.aspx?nid=356 ,,,,,,,
 Lucas County (Ohio). Auditors Office. Dog Licenses.," One Government Center, Suite 770", Toledo,OH,43604,419-213-4441,Fax 419/213-4888,, ," 8 am-5 pm., M-F","Sell current year dog licenses, collect the money and pay it to the Lucas County Treasurer. | Have a self-mailer going out to all dog owners who are in the database. | Also have outside agents selling tags.", http://www.co.lucas.oh.us/index.aspx?nid=1398 ,,,,,,,
